Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Brazil,Inflation Rate,1980-12-31T00:00:00,99.25,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-01-31T00:00:00,99.67,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-02-28T00:00:00,103.07,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-03-31T00:00:00,101.03,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-04-30T00:00:00,103.27,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-05-31T00:00:00,103,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-06-30T00:00:00,103.4,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-07-31T00:00:00,104.7,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-08-31T00:00:00,105.8,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-09-30T00:00:00,107.8,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-10-31T00:00:00,99.5,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-11-30T00:00:00,98.8,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1981-12-31T00:00:00,95.6,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-01-31T00:00:00,95.8,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-02-28T00:00:00,96.2,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-03-31T00:00:00,97.6,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-04-30T00:00:00,98.5,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-05-31T00:00:00,98.6,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-06-30T00:00:00,101.6,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-07-31T00:00:00,101.8,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-08-31T00:00:00,102.7,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-09-30T00:00:00,102.4,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-10-31T00:00:00,101.1,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-11-30T00:00:00,101.2,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1982-12-31T00:00:00,104.2,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-01-31T00:00:00,108,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-02-28T00:00:00,110.38,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-03-31T00:00:00,113.63,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-04-30T00:00:00,115.03,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-05-31T00:00:00,114.67,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-06-30T00:00:00,120.24,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-07-31T00:00:00,127.94,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-08-31T00:00:00,134.69,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-09-30T00:00:00,146.35,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-10-31T00:00:00,156.78,Monthly,BZPIIPCY,2011-06-27T00:00:00
Brazil,Inflation Rate,1983-11-30T00:00:00,161.9,Monthly,BZPIIPCY,2011-06-27T00:00:00
