Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Guatemala,Inflation Rate,1951-01-31T00:00:00,4.24,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-02-28T00:00:00,3.86,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-03-31T00:00:00,9.09,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-04-30T00:00:00,11.59,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-05-31T00:00:00,10.09,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-06-30T00:00:00,15.25,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-07-31T00:00:00,19.01,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-08-31T00:00:00,17.89,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-09-30T00:00:00,13.04,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-10-31T00:00:00,10.23,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-11-30T00:00:00,7.12,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1951-12-31T00:00:00,5.19,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-01-31T00:00:00,5.81,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-02-29T00:00:00,2.86,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-03-31T00:00:00,-0.56,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-04-30T00:00:00,-1.91,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-05-31T00:00:00,-2.16,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-06-30T00:00:00,-8.91,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-07-31T00:00:00,-11.79,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-08-31T00:00:00,-11.94,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-09-30T00:00:00,-9.74,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-10-31T00:00:00,-9.54,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-11-30T00:00:00,-5.85,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1952-12-31T00:00:00,-2.74,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1953-01-31T00:00:00,-1.37,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1953-02-28T00:00:00,-1.94,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1953-03-31T00:00:00,1.68,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1953-04-30T00:00:00,-1.11,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1953-05-31T00:00:00,0,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
Guatemala,Inflation Rate,1953-06-30T00:00:00,3.07,Monthly,GUAMALAINFNRATE,2013-01-25T14:03:00
