Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Honduras,Inflation Rate,1990-01-31T00:00:00,12.62,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-02-28T00:00:00,14.66,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-03-31T00:00:00,15.49,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-04-30T00:00:00,19.58,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-05-31T00:00:00,20.2,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-06-30T00:00:00,21.62,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-07-31T00:00:00,23.39,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-08-31T00:00:00,24.4,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-09-30T00:00:00,25.42,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-10-31T00:00:00,30.08,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-11-30T00:00:00,33.29,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1990-12-31T00:00:00,36.42,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-01-31T00:00:00,39.08,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-02-28T00:00:00,39.72,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-03-31T00:00:00,40.2,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-04-30T00:00:00,39.12,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-05-31T00:00:00,38.96,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-06-30T00:00:00,38.22,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-07-31T00:00:00,36.04,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-08-31T00:00:00,35.67,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-09-30T00:00:00,33.24,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-10-31T00:00:00,27.69,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-11-30T00:00:00,24.63,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1991-12-31T00:00:00,21.38,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-01-31T00:00:00,16.8,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-02-29T00:00:00,14.08,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-03-31T00:00:00,12.85,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-04-30T00:00:00,10.39,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-05-31T00:00:00,9.53,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-06-30T00:00:00,7.7,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-07-31T00:00:00,6.6,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-08-31T00:00:00,5.5,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-09-30T00:00:00,6.02,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-10-31T00:00:00,5.42,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-11-30T00:00:00,5.78,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1992-12-31T00:00:00,6.5,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-01-31T00:00:00,6.91,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-02-28T00:00:00,6.77,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-03-31T00:00:00,7.31,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-04-30T00:00:00,8.28,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-05-31T00:00:00,8.8,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-06-30T00:00:00,10.32,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-07-31T00:00:00,13.02,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-08-31T00:00:00,14.03,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-09-30T00:00:00,13.26,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-10-31T00:00:00,13.58,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-11-30T00:00:00,13.35,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1993-12-31T00:00:00,13.03,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-01-31T00:00:00,14,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-02-28T00:00:00,16.34,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-03-31T00:00:00,16.61,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-04-30T00:00:00,17.58,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-05-31T00:00:00,21.15,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-06-30T00:00:00,21.82,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-07-31T00:00:00,21.49,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-08-31T00:00:00,22.7,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-09-30T00:00:00,24.23,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-10-31T00:00:00,25.5,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-11-30T00:00:00,28.15,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1994-12-31T00:00:00,28.93,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-01-31T00:00:00,30.8,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-02-28T00:00:00,33.22,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-03-31T00:00:00,33.76,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-04-30T00:00:00,33.48,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
Honduras,Inflation Rate,1995-05-31T00:00:00,30.76,Monthly,HONURASINFNRATE,2012-10-23T15:57:00
