Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Indonesia,Inflation Rate,1997-11-30T00:00:00,8.44,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1997-12-31T00:00:00,10.31,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-01-31T00:00:00,7.17,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-02-28T00:00:00,20.75,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-03-31T00:00:00,27.11,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-04-30T00:00:00,42.65,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-05-31T00:00:00,49.67,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-06-30T00:00:00,56.67,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-07-31T00:00:00,68.72,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-08-31T00:00:00,77.72,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-09-30T00:00:00,82.4,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-10-31T00:00:00,79.41,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-11-30T00:00:00,78.15,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1998-12-31T00:00:00,77.63,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-01-31T00:00:00,70.66,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-02-28T00:00:00,53.39,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-03-31T00:00:00,45.45,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-04-30T00:00:00,37.97,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-05-31T00:00:00,30.73,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-06-30T00:00:00,24.52,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-07-31T00:00:00,13.49,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-08-31T00:00:00,5.77,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-09-30T00:00:00,1.25,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-10-31T00:00:00,1.44,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-11-30T00:00:00,1.6,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,1999-12-31T00:00:00,1.92,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-01-31T00:00:00,0.28,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-02-29T00:00:00,-0.89,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-03-31T00:00:00,-1.17,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-04-30T00:00:00,1.5,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-05-31T00:00:00,1.2,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-06-30T00:00:00,2.04,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-07-31T00:00:00,4.45,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-08-31T00:00:00,6.11,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-09-30T00:00:00,6.79,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-10-31T00:00:00,7.97,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-11-30T00:00:00,9.12,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2000-12-31T00:00:00,9.35,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-01-31T00:00:00,8.28,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-02-28T00:00:00,9.14,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-03-31T00:00:00,10.62,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-04-30T00:00:00,10.51,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-05-31T00:00:00,10.82,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-06-30T00:00:00,12.11,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-07-31T00:00:00,13.04,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-08-31T00:00:00,12.23,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-09-30T00:00:00,13.01,Monthly,IDCPIY,2011-06-27T00:00:00
Indonesia,Inflation Rate,2001-10-31T00:00:00,12.47,Monthly,IDCPIY,2011-06-27T00:00:00
