Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Inflation Rate,1996-01-31T00:00:00,9.76,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-02-29T00:00:00,8.8,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-03-31T00:00:00,9.46,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-04-30T00:00:00,8.48,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-05-31T00:00:00,6.03,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-06-30T00:00:00,4.66,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-07-31T00:00:00,3.93,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-08-31T00:00:00,3.2,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-09-30T00:00:00,3,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-10-31T00:00:00,3,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-11-30T00:00:00,3.82,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1996-12-31T00:00:00,4.55,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-01-31T00:00:00,4.44,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-02-28T00:00:00,3.73,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-03-31T00:00:00,2.39,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-04-30T00:00:00,1.68,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-05-31T00:00:00,1.68,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-06-30T00:00:00,2.29,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-07-31T00:00:00,3.22,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-08-31T00:00:00,3.73,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-09-30T00:00:00,4.05,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-10-31T00:00:00,4.25,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-11-30T00:00:00,3.63,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1997-12-31T00:00:00,3.63,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-01-31T00:00:00,4.46,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-02-28T00:00:00,4.87,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-03-31T00:00:00,4.55,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-04-30T00:00:00,6.86,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-05-31T00:00:00,8.9,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-06-30T00:00:00,8.8,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-07-31T00:00:00,8.04,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-08-31T00:00:00,9.11,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-09-30T00:00:00,9.55,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-10-31T00:00:00,9.55,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-11-30T00:00:00,9.33,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1998-12-31T00:00:00,9.11,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-01-31T00:00:00,9.22,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-02-28T00:00:00,8.9,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-03-31T00:00:00,9.01,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-04-30T00:00:00,6.65,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-05-31T00:00:00,4.76,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-06-30T00:00:00,4.44,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-07-31T00:00:00,4.55,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-08-31T00:00:00,3,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-09-30T00:00:00,1.36,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-10-31T00:00:00,0.05,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-11-30T00:00:00,0.35,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,1999-12-31T00:00:00,0.05,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-01-31T00:00:00,-1.23,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-02-29T00:00:00,-1.52,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-03-31T00:00:00,-1.91,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-04-30T00:00:00,-2.01,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-05-31T00:00:00,-2.21,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-06-30T00:00:00,-2.41,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-07-31T00:00:00,-2.6,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-08-31T00:00:00,-2.11,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-09-30T00:00:00,-1.72,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-10-31T00:00:00,-0.63,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-11-30T00:00:00,-0.13,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2000-12-31T00:00:00,-0.53,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-01-31T00:00:00,-0.63,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-02-28T00:00:00,-1.8,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-03-31T00:00:00,-1.41,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-04-30T00:00:00,-1.21,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-05-31T00:00:00,-0.81,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-06-30T00:00:00,-0.31,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-07-31T00:00:00,0.09,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-08-31T00:00:00,-0.01,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-09-30T00:00:00,0.69,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-10-31T00:00:00,0.59,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-11-30T00:00:00,-0.11,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2001-12-31T00:00:00,0.79,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-01-31T00:00:00,1.6,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-02-28T00:00:00,3.42,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-03-31T00:00:00,3.31,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-04-30T00:00:00,3.83,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-05-31T00:00:00,4.35,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-06-30T00:00:00,4.46,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-07-31T00:00:00,4.56,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-08-31T00:00:00,4.67,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-09-30T00:00:00,4.35,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-10-31T00:00:00,4.67,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-11-30T00:00:00,4.77,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2002-12-31T00:00:00,4.04,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-01-31T00:00:00,3.84,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-02-28T00:00:00,3.84,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-03-31T00:00:00,4.05,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-04-30T00:00:00,4.05,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-05-31T00:00:00,3.63,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-06-30T00:00:00,3.22,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-07-31T00:00:00,3.01,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-08-31T00:00:00,2.81,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-09-30T00:00:00,2.7,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-10-31T00:00:00,2.19,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-11-30T00:00:00,2.5,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2003-12-31T00:00:00,3.01,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-01-31T00:00:00,3.21,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-02-29T00:00:00,4.02,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-03-31T00:00:00,5.49,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-04-30T00:00:00,6.01,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-05-31T00:00:00,7.07,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-06-30T00:00:00,8.26,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-07-31T00:00:00,9.12,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-08-31T00:00:00,9.89,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-09-30T00:00:00,10.11,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-10-31T00:00:00,10.33,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-11-30T00:00:00,9.89,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2004-12-31T00:00:00,9.67,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-01-31T00:00:00,9.67,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-02-28T00:00:00,9.14,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-03-31T00:00:00,8.38,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-04-30T00:00:00,8.49,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-05-31T00:00:00,8.06,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-06-30T00:00:00,7.63,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-07-31T00:00:00,7.52,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-08-31T00:00:00,7.31,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-09-30T00:00:00,7.85,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-10-31T00:00:00,8.28,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-11-30T00:00:00,8.49,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2005-12-31T00:00:00,8.71,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-01-31T00:00:00,8.82,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-02-28T00:00:00,8.39,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-03-31T00:00:00,7.74,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-04-30T00:00:00,7.31,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-05-31T00:00:00,7.42,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-06-30T00:00:00,7.42,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-07-31T00:00:00,7.42,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-08-31T00:00:00,7.42,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-09-30T00:00:00,6.89,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-10-31T00:00:00,6.67,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-11-30T00:00:00,6.89,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2006-12-31T00:00:00,6.57,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2007-01-31T00:00:00,6.46,Monthly,VietnamIR,2011-06-27T00:00:00
Vietnam,Inflation Rate,2007-02-28T00:00:00,6.57,Monthly,VietnamIR,2011-06-27T00:00:00
