Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Brazil,Currency,1993-01-14T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-01-19T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-01-21T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-01-25T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-01-26T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-01-27T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-01-29T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-01T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-02T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-04T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-05T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-08T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-09T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-10T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-11T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-12T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-16T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-17T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-18T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-24T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-02-25T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-01T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-02T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-04T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-05T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-08T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-09T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
Brazil,Currency,1993-03-11T00:00:00,0.01,Daily,USDBRL,2011-06-27T00:00:00
