Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Colombia,Currency,1992-08-19T00:00:00,693.25,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-08-26T00:00:00,689.56,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-08-27T00:00:00,689.21,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-08-28T00:00:00,689.45,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-08-31T00:00:00,691.68,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-01T00:00:00,691.9,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-02T00:00:00,692.89,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-03T00:00:00,693.02,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-04T00:00:00,695.62,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-07T00:00:00,696.77,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-08T00:00:00,697.69,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-09T00:00:00,698.28,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-10T00:00:00,695.38,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-11T00:00:00,695.54,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-15T00:00:00,696.29,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-16T00:00:00,696.84,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-17T00:00:00,695.7,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-18T00:00:00,696.66,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-21T00:00:00,696.42,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-22T00:00:00,699.16,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-24T00:00:00,698.4,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-25T00:00:00,697.01,Daily,USDCOP,2011-06-27T00:00:00
Colombia,Currency,1992-09-28T00:00:00,704.8,Daily,USDCOP,2011-06-27T00:00:00
