Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Ethiopia,Currency,1992-02-04T00:00:00,2.04,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-05T00:00:00,2.02,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-06T00:00:00,2.02,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-07T00:00:00,2.02,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-10T00:00:00,2.02,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-11T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-12T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-13T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-14T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-17T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-18T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-19T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-20T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-21T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-24T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-25T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-26T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-27T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-02-28T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-02T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-03T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-04T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-05T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-06T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-09T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-10T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-11T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-12T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-13T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-16T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-17T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-18T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-19T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-20T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-23T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-24T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-25T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-26T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-27T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-30T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-03-31T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-01T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-02T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-03T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-06T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-07T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-08T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-09T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-10T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-13T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-14T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-15T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-16T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-17T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-20T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-21T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-22T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-23T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-24T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-27T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-28T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-29T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
Ethiopia,Currency,1992-04-30T00:00:00,2.03,Daily,USDETB,2012-11-28T15:20:00
