Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Honduras,Currency,2009-05-31T00:00:00,18.5,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-06-30T00:00:00,18.54,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-07-31T00:00:00,18.55,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-08-31T00:00:00,18.54,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-09-30T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-10-31T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-11-30T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2009-12-31T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-01-31T00:00:00,19.03,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-02-28T00:00:00,18.79,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-03-31T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-04-30T00:00:00,18.52,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-05-31T00:00:00,18.48,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-06-30T00:00:00,18.49,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-07-31T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-08-31T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-09-30T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-10-31T00:00:00,18.77,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-11-30T00:00:00,18.91,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2010-12-31T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-01-31T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-02-28T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-03-31T00:00:00,18.89,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-04-30T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-05-31T00:00:00,18.9,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-06-30T00:00:00,18.84,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-07-31T00:00:00,18.67,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-08-31T00:00:00,18.84,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-09-30T00:00:00,18.91,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-10-31T00:00:00,18.96,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-11-30T00:00:00,18.91,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2011-12-31T00:00:00,18.97,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-01-31T00:00:00,19.03,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-02-28T00:00:00,19.04,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-03-31T00:00:00,19.05,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-04-30T00:00:00,19.06,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-05-31T00:00:00,19.11,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-06-30T00:00:00,19.05,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-07-31T00:00:00,19.47,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-08-31T00:00:00,19.57,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-09-30T00:00:00,19.75,Daily,USDHNL,2012-10-23T15:56:00
Honduras,Currency,2012-10-24T00:00:00,19.7,Daily,USDHNL,2012-10-24T22:00:00
Honduras,Currency,2012-10-25T00:00:00,19.7,Daily,USDHNL,2012-10-25T22:00:00
Honduras,Currency,2012-10-26T00:00:00,19.7,Daily,USDHNL,2012-10-28T22:00:00
Honduras,Currency,2012-10-29T00:00:00,19.7,Daily,USDHNL,2012-10-29T22:00:00
Honduras,Currency,2012-10-30T00:00:00,19.7,Daily,USDHNL,2012-10-30T22:00:00
Honduras,Currency,2012-10-31T00:00:00,19.65,Daily,USDHNL,2012-10-23T15:56:00
