Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Indonesia,Currency,1991-11-05T00:00:00,1977,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-11-13T00:00:00,1978,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-11-19T00:00:00,1980,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-11-20T00:00:00,1978,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-11-26T00:00:00,1980,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-12-02T00:00:00,1980,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-12-03T00:00:00,1982,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-12-10T00:00:00,1989,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-12-17T00:00:00,1984,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1991-12-31T00:00:00,1995,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-01T00:00:00,1995,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-02T00:00:00,1984,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-06T00:00:00,1985,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-07T00:00:00,1990,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-10T00:00:00,1992,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-13T00:00:00,1996,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-14T00:00:00,1993,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-15T00:00:00,1994,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-16T00:00:00,1993,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-17T00:00:00,1995,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-21T00:00:00,2002,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-22T00:00:00,1999,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-23T00:00:00,1996,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-24T00:00:00,1998,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-27T00:00:00,1999,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-28T00:00:00,2001,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-29T00:00:00,1999,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-30T00:00:00,2000,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-01-31T00:00:00,2001,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-03T00:00:00,2001,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-06T00:00:00,2002,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-07T00:00:00,2001,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-10T00:00:00,2003,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-11T00:00:00,2002,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-12T00:00:00,2003,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-14T00:00:00,2007,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-17T00:00:00,2006,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-18T00:00:00,2007,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-19T00:00:00,2008,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-20T00:00:00,2011,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-21T00:00:00,2012,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-24T00:00:00,2010,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-25T00:00:00,2009,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-26T00:00:00,2010,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-27T00:00:00,2008,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-02-28T00:00:00,2010,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-02T00:00:00,2011,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-03T00:00:00,2010,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-04T00:00:00,2013,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-05T00:00:00,2009,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-06T00:00:00,2010,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-09T00:00:00,2011,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-10T00:00:00,2012,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-11T00:00:00,2013,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-16T00:00:00,2014,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-18T00:00:00,2010,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-19T00:00:00,2011,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-20T00:00:00,2012,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-23T00:00:00,2013,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-26T00:00:00,2015,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-27T00:00:00,2016,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-03-30T00:00:00,2014,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-01T00:00:00,2014,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-02T00:00:00,2015,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-03T00:00:00,2012,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-07T00:00:00,2015,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-10T00:00:00,2016,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-15T00:00:00,2017,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-21T00:00:00,2018,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-22T00:00:00,2019,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-23T00:00:00,2020,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-24T00:00:00,2019,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-28T00:00:00,2021,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-04-29T00:00:00,2020,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-01T00:00:00,2020,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-04T00:00:00,2021,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-05T00:00:00,2023,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-06T00:00:00,2024,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-08T00:00:00,2025,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-11T00:00:00,2026,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-12T00:00:00,2027,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-13T00:00:00,2026,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-15T00:00:00,2025,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-19T00:00:00,2027,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-20T00:00:00,2026,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-21T00:00:00,2028,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-22T00:00:00,2029,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-26T00:00:00,2028,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-05-27T00:00:00,2029,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-01T00:00:00,2029,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-04T00:00:00,2031,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-05T00:00:00,2030,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-09T00:00:00,2032,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-10T00:00:00,2033,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-16T00:00:00,2030,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-17T00:00:00,2032,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-19T00:00:00,2030,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-23T00:00:00,2034,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-24T00:00:00,2032,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-26T00:00:00,2033,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-06-29T00:00:00,2036,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-01T00:00:00,2034,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-03T00:00:00,2033,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-06T00:00:00,2034,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-07T00:00:00,2030,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-08T00:00:00,2032,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-13T00:00:00,2031,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-14T00:00:00,2037,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-15T00:00:00,2036,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-16T00:00:00,2031,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-17T00:00:00,2030,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-21T00:00:00,2029,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-23T00:00:00,2031,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-24T00:00:00,2037,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-27T00:00:00,2030,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-07-28T00:00:00,2032,Daily,USDIDR,2011-06-27T00:00:00
Indonesia,Currency,1992-08-03T00:00:00,2031,Daily,USDIDR,2011-06-27T00:00:00
