Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Uganda,Currency,2009-05-31T00:00:00,2225,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-06-30T00:00:00,2055,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-07-31T00:00:00,2070,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-08-31T00:00:00,2030,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-09-30T00:00:00,1940.5,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-10-31T00:00:00,1940.5,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-11-30T00:00:00,1872.75,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2009-12-31T00:00:00,1894.45,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2010-01-31T00:00:00,1914.1,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2010-02-28T00:00:00,1914.1,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2010-03-31T00:00:00,1914.1,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2010-04-30T00:00:00,1914.1,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2010-05-31T00:00:00,1914.1,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2010-12-31T00:00:00,2308.8,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-01-31T00:00:00,2320.05,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-02-28T00:00:00,2362.45,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-03-31T00:00:00,2399.3,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-04-30T00:00:00,2381.4,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-05-31T00:00:00,2390.35,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-06-30T00:00:00,2575.2,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-07-31T00:00:00,2577.05,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-08-31T00:00:00,2821.55,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-09-30T00:00:00,2846.65,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-10-31T00:00:00,2586,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-11-30T00:00:00,2562.2,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2011-12-31T00:00:00,2480.15,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-01-31T00:00:00,2323.85,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-02-29T00:00:00,2377.05,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-03-31T00:00:00,2519.45,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-04-30T00:00:00,2505.05,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-05-31T00:00:00,2492.25,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-06-30T00:00:00,2472.95,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-07-31T00:00:00,2476.75,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-08-31T00:00:00,2513.85,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-09-30T00:00:00,2561.55,Daily,USDUGX,2012-10-23T15:27:00
Uganda,Currency,2012-10-24T00:00:00,2586,Daily,USDUGX,2012-10-24T22:00:00
Uganda,Currency,2012-10-25T00:00:00,2595,Daily,USDUGX,2012-10-25T22:00:00
Uganda,Currency,2012-10-26T00:00:00,2595,Daily,USDUGX,2012-10-28T22:00:00
Uganda,Currency,2012-10-29T00:00:00,2592.5,Daily,USDUGX,2012-10-29T22:00:00
Uganda,Currency,2012-10-30T00:00:00,2592.5,Daily,USDUGX,2012-10-30T22:00:00
Uganda,Currency,2012-11-02T00:00:00,2582.5,Daily,USDUGX,2012-11-04T22:00:00
Uganda,Currency,2012-11-05T00:00:00,2580,Daily,USDUGX,2012-11-05T22:00:00
Uganda,Currency,2012-11-06T00:00:00,2585,Daily,USDUGX,2012-11-06T22:00:00
Uganda,Currency,2012-11-07T00:00:00,2585,Daily,USDUGX,2012-11-07T22:00:00
Uganda,Currency,2012-11-08T00:00:00,2597.5,Daily,USDUGX,2012-11-08T22:00:00
Uganda,Currency,2012-11-09T00:00:00,2599,Daily,USDUGX,2012-11-11T22:00:00
Uganda,Currency,2012-11-12T00:00:00,2603,Daily,USDUGX,2012-11-12T22:00:00
Uganda,Currency,2012-11-13T00:00:00,2607.5,Daily,USDUGX,2012-11-13T22:00:00
Uganda,Currency,2012-11-14T00:00:00,2610,Daily,USDUGX,2012-11-14T22:00:00
Uganda,Currency,2012-11-15T00:00:00,2617.5,Daily,USDUGX,2012-11-15T22:00:00
Uganda,Currency,2012-11-16T00:00:00,2615,Daily,USDUGX,2012-11-18T22:01:00
Uganda,Currency,2012-11-19T00:00:00,2620,Daily,USDUGX,2012-11-19T22:00:00
Uganda,Currency,2012-11-20T00:00:00,2622.8,Daily,USDUGX,2012-11-20T10:00:00
Uganda,Currency,2012-11-21T00:00:00,2633,Daily,USDUGX,2012-11-21T22:00:00
Uganda,Currency,2012-11-22T00:00:00,2644,Daily,USDUGX,2012-11-22T22:00:00
Uganda,Currency,2012-11-23T00:00:00,2657.5,Daily,USDUGX,2012-11-25T22:00:00
Uganda,Currency,2012-11-26T00:00:00,2658,Daily,USDUGX,2012-11-26T22:00:00
