Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Vietnam,Currency,1998-12-01T00:00:00,13894,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-02T00:00:00,13892.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-03T00:00:00,13892.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-04T00:00:00,13893.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-07T00:00:00,13894.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-08T00:00:00,13894.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-09T00:00:00,13894.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-10T00:00:00,13894.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-11T00:00:00,13894.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-14T00:00:00,13894,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-15T00:00:00,13894,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-16T00:00:00,13894,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-17T00:00:00,13893,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-18T00:00:00,13893,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-21T00:00:00,13890.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-22T00:00:00,13892.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-23T00:00:00,13891.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-24T00:00:00,13890,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-25T00:00:00,13890,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-28T00:00:00,13890,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-29T00:00:00,13892,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-30T00:00:00,13892,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1998-12-31T00:00:00,13893,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-01T00:00:00,13893,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-04T00:00:00,13891,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-05T00:00:00,13891,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-06T00:00:00,13891,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-07T00:00:00,13886,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-08T00:00:00,13886,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-11T00:00:00,13889.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-12T00:00:00,13886.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-13T00:00:00,13886,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-14T00:00:00,13887,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-15T00:00:00,13885,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-18T00:00:00,13883.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-19T00:00:00,13883.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-20T00:00:00,13883.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-21T00:00:00,13885,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-22T00:00:00,13885,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-25T00:00:00,13883,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-26T00:00:00,13882.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-27T00:00:00,13880,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-28T00:00:00,13881.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-01-29T00:00:00,13880,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-01T00:00:00,13880,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-02T00:00:00,13881.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-03T00:00:00,13881,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-04T00:00:00,13881,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-05T00:00:00,13878,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-08T00:00:00,13882.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-09T00:00:00,13882.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-10T00:00:00,13879.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-11T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-12T00:00:00,13881.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-15T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-16T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-17T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-18T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-19T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-22T00:00:00,13882,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-23T00:00:00,13881,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-24T00:00:00,13881,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-25T00:00:00,13882.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-02-26T00:00:00,13892,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-01T00:00:00,13898,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-02T00:00:00,13901,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-03T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-04T00:00:00,13900,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-05T00:00:00,13898,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-08T00:00:00,13902.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-09T00:00:00,13899.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-10T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-11T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-12T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-15T00:00:00,13898.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-16T00:00:00,13899.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-17T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-18T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-19T00:00:00,13902.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-22T00:00:00,13903.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-23T00:00:00,13902,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-24T00:00:00,13902,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-25T00:00:00,13902,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-26T00:00:00,13902.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-29T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-30T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-03-31T00:00:00,13902,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-01T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-02T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-05T00:00:00,13898.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-06T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-07T00:00:00,13903.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-08T00:00:00,13903.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-09T00:00:00,13905.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-12T00:00:00,13902.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-13T00:00:00,13903.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-14T00:00:00,13904.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-15T00:00:00,13903.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-16T00:00:00,13905.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-19T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-20T00:00:00,13901.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-21T00:00:00,13904.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-22T00:00:00,13901,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-23T00:00:00,13900.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-26T00:00:00,13900,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-27T00:00:00,13907,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-28T00:00:00,13907,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-29T00:00:00,13908.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-04-30T00:00:00,13908.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-03T00:00:00,13908.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-04T00:00:00,13907.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-05T00:00:00,13908.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-06T00:00:00,13906.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-07T00:00:00,13908.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-10T00:00:00,13907.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-11T00:00:00,13908,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-12T00:00:00,13908,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-13T00:00:00,13908.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-14T00:00:00,13909,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-17T00:00:00,13911.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-18T00:00:00,13911.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-19T00:00:00,13914,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-20T00:00:00,13912.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-21T00:00:00,13913.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-24T00:00:00,13911,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-25T00:00:00,13914,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-26T00:00:00,13912.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-27T00:00:00,13915,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-28T00:00:00,13915,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-05-31T00:00:00,13912.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-01T00:00:00,13912.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-02T00:00:00,13912.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-03T00:00:00,13914,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-04T00:00:00,13914,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-07T00:00:00,13916.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-08T00:00:00,13917.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-09T00:00:00,13917.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-10T00:00:00,13917.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-11T00:00:00,13913.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-14T00:00:00,13914.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-15T00:00:00,13921.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-16T00:00:00,13923.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-17T00:00:00,13917.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-18T00:00:00,13916.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-21T00:00:00,13918,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-22T00:00:00,13916.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-23T00:00:00,13924.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-24T00:00:00,13920,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-25T00:00:00,13927.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-28T00:00:00,13927.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-29T00:00:00,13929,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-06-30T00:00:00,13932.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-01T00:00:00,13932.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-02T00:00:00,13935.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-05T00:00:00,13934.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-06T00:00:00,13937.5,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-07T00:00:00,13943,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-08T00:00:00,13943,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-09T00:00:00,13943,Daily,USDVND,2017-01-06T19:46:00
Vietnam,Currency,1999-07-12T00:00:00,13945.5,Daily,USDVND,2017-01-06T19:46:00
