Symbol,Date,Open,High,Low,Close
KC1:COM,16/08/1972,54.25,54.25,54.25,54.25
KC1:COM,24/08/1972,53,53,53,53
KC1:COM,25/08/1972,53.1,53.1,53.1,53.1
KC1:COM,28/08/1972,52.9,52.9,52.9,52.9
KC1:COM,29/08/1972,53.15,53.15,53.15,53.15
KC1:COM,30/08/1972,54,54,54,54
KC1:COM,31/08/1972,54.5,54.5,54.5,54.5
KC1:COM,01/09/1972,55.25,55.25,55.25,55.25
KC1:COM,05/09/1972,56.7,56.7,56.7,56.7
KC1:COM,06/09/1972,56.55,56.55,56.55,56.55
KC1:COM,07/09/1972,56,56,56,56
KC1:COM,08/09/1972,55.65,55.65,55.65,55.65
KC1:COM,11/09/1972,54.2,54.2,54.2,54.2
KC1:COM,12/09/1972,54.75,54.75,54.75,54.75
KC1:COM,13/09/1972,54.5,54.5,54.5,54.5
KC1:COM,14/09/1972,55.2,55.2,55.2,55.2
KC1:COM,15/09/1972,55.6,55.6,55.6,55.6
KC1:COM,18/09/1972,55.9,55.9,55.9,55.9
KC1:COM,19/09/1972,55.8,55.8,55.8,55.8
KC1:COM,20/09/1972,55.3,55.3,55.3,55.3
KC1:COM,21/09/1972,55.35,55.35,55.35,55.35
KC1:COM,22/09/1972,55.8,55.8,55.8,55.8
KC1:COM,25/09/1972,55.85,55.85,55.85,55.85
KC1:COM,26/09/1972,55.3,55.3,55.3,55.3
KC1:COM,27/09/1972,55.55,55.55,55.55,55.55
KC1:COM,28/09/1972,55.85,55.85,55.85,55.85
KC1:COM,29/09/1972,56,56,56,56
KC1:COM,02/10/1972,56.25,56.25,56.25,56.25
KC1:COM,03/10/1972,56.5,56.5,56.5,56.5
KC1:COM,04/10/1972,56.2,56.2,56.2,56.2
KC1:COM,05/10/1972,56.6,56.6,56.6,56.6
KC1:COM,06/10/1972,56.65,56.65,56.65,56.65
KC1:COM,10/10/1972,56.75,56.75,56.75,56.75
KC1:COM,11/10/1972,56.73,56.73,56.73,56.73
KC1:COM,12/10/1972,56.45,56.45,56.45,56.45
KC1:COM,13/10/1972,56.4,56.4,56.4,56.4
KC1:COM,16/10/1972,56.55,56.55,56.55,56.55
KC1:COM,17/10/1972,56.5,56.5,56.5,56.5
KC1:COM,18/10/1972,56,56,56,56
KC1:COM,20/10/1972,56.15,56.15,56.15,56.15
KC1:COM,24/10/1972,56.35,56.35,56.35,56.35
KC1:COM,25/10/1972,55.75,55.75,55.75,55.75
KC1:COM,27/10/1972,55.8,55.8,55.8,55.8
KC1:COM,30/10/1972,55.9,55.9,55.9,55.9
KC1:COM,31/10/1972,55,55,55,55
KC1:COM,01/11/1972,55,55,55,55
KC1:COM,03/11/1972,55.65,55.65,55.65,55.65
KC1:COM,06/11/1972,55.75,55.75,55.75,55.75
KC1:COM,08/11/1972,55,55,55,55
KC1:COM,09/11/1972,55.5,55.5,55.5,55.5
KC1:COM,10/11/1972,55,55,55,55
KC1:COM,13/11/1972,55.6,55.6,55.6,55.6
KC1:COM,14/11/1972,55.5,55.5,55.5,55.5
KC1:COM,15/11/1972,55,55,55,55
KC1:COM,16/11/1972,55.25,55.25,55.25,55.25
KC1:COM,17/11/1972,55.65,55.65,55.65,55.65
KC1:COM,20/11/1972,56.35,56.35,56.35,56.35
KC1:COM,21/11/1972,57.07,57.07,57.07,57.07
KC1:COM,22/11/1972,56.5,56.5,56.5,56.5
KC1:COM,24/11/1972,57.39,57.39,57.39,57.39
KC1:COM,27/11/1972,57.5,57.5,57.5,57.5
KC1:COM,28/11/1972,58.6,58.6,58.6,58.6
KC1:COM,29/11/1972,59.95,59.95,59.95,59.95
KC1:COM,30/11/1972,59.7,59.7,59.7,59.7
KC1:COM,01/12/1972,60.25,60.25,60.25,60.25
KC1:COM,05/12/1972,60.2,60.2,60.2,60.2
KC1:COM,06/12/1972,59.81,59.81,59.81,59.81
KC1:COM,07/12/1972,59.4,59.4,59.4,59.4
KC1:COM,08/12/1972,59.2,59.2,59.2,59.2
KC1:COM,11/12/1972,58.75,58.75,58.75,58.75
KC1:COM,12/12/1972,59.25,59.25,59.25,59.25
KC1:COM,13/12/1972,59.3,59.3,59.3,59.3
KC1:COM,14/12/1972,59.2,59.2,59.2,59.2
KC1:COM,15/12/1972,59.6,59.6,59.6,59.6
KC1:COM,18/12/1972,60.45,60.45,60.45,60.45
KC1:COM,19/12/1972,60.75,60.75,60.75,60.75
KC1:COM,20/12/1972,60.7,60.7,60.7,60.7
KC1:COM,21/12/1972,60.74,60.74,60.74,60.74
KC1:COM,26/12/1972,61.06,61.06,61.06,61.06
KC1:COM,27/12/1972,61.24,61.24,61.24,61.24
KC1:COM,29/12/1972,60.9,60.9,60.9,60.9
KC1:COM,02/01/1973,61.15,61.15,61.15,61.15
KC1:COM,04/01/1973,61.95,61.95,61.95,61.95
KC1:COM,05/01/1973,63.5,63.5,63.5,63.5
KC1:COM,08/01/1973,63.55,63.55,63.55,63.55
KC1:COM,09/01/1973,65.45,65.45,65.45,65.45
KC1:COM,10/01/1973,67.3,67.3,67.3,67.3
KC1:COM,11/01/1973,65.3,65.3,65.3,65.3
KC1:COM,12/01/1973,63.3,63.3,63.3,63.3
KC1:COM,15/01/1973,61.9,61.9,61.9,61.9
KC1:COM,16/01/1973,63,63,63,63
KC1:COM,17/01/1973,64.9,64.9,64.9,64.9
KC1:COM,18/01/1973,66.5,66.5,66.5,66.5
KC1:COM,19/01/1973,66,66,66,66
KC1:COM,22/01/1973,64.75,64.75,64.75,64.75
KC1:COM,23/01/1973,63.9,63.9,63.9,63.9
KC1:COM,24/01/1973,64.25,64.25,64.25,64.25
KC1:COM,26/01/1973,64.5,64.5,64.5,64.5
KC1:COM,29/01/1973,66.35,66.35,66.35,66.35
KC1:COM,30/01/1973,65.7,65.7,65.7,65.7
KC1:COM,31/01/1973,64.9,64.9,64.9,64.9
KC1:COM,01/02/1973,65.9,65.9,65.9,65.9
KC1:COM,02/02/1973,66.8,66.8,66.8,66.8
KC1:COM,05/02/1973,67.65,67.65,67.65,67.65
KC1:COM,06/02/1973,68.75,68.75,68.75,68.75
KC1:COM,07/02/1973,68.9,68.9,68.9,68.9
KC1:COM,08/02/1973,68.75,68.75,68.75,68.75
KC1:COM,09/02/1973,69.45,69.45,69.45,69.45
KC1:COM,13/02/1973,71.45,71.45,71.45,71.45
KC1:COM,14/02/1973,69.45,69.45,69.45,69.45
KC1:COM,15/02/1973,71.25,71.25,71.25,71.25
KC1:COM,16/02/1973,72.7,72.7,72.7,72.7
KC1:COM,20/02/1973,73.2,73.2,73.2,73.2
KC1:COM,21/02/1973,73.6,73.6,73.6,73.6
KC1:COM,22/02/1973,75.05,75.05,75.05,75.05
KC1:COM,23/02/1973,76.15,76.15,76.15,76.15
KC1:COM,26/02/1973,76.03,76.03,76.03,76.03
KC1:COM,27/02/1973,77.8,77.8,77.8,77.8
KC1:COM,28/02/1973,80.2,80.2,80.2,80.2
KC1:COM,01/03/1973,75.2,75.2,75.2,75.2
KC1:COM,02/03/1973,75.3,75.3,75.3,75.3
KC1:COM,05/03/1973,72.15,72.15,72.15,72.15
KC1:COM,06/03/1973,70.9,70.9,70.9,70.9
KC1:COM,07/03/1973,68.75,68.75,68.75,68.75
KC1:COM,08/03/1973,63.5,63.5,63.5,63.5
KC1:COM,09/03/1973,61,61,61,61
KC1:COM,12/03/1973,62.5,62.5,62.5,62.5
KC1:COM,13/03/1973,65.2,65.2,65.2,65.2
KC1:COM,14/03/1973,61.5,61.5,61.5,61.5
KC1:COM,15/03/1973,64.55,64.55,64.55,64.55
KC1:COM,16/03/1973,65.99,65.99,65.99,65.99
KC1:COM,19/03/1973,64,64,64,64
KC1:COM,20/03/1973,61.75,61.75,61.75,61.75
KC1:COM,21/03/1973,61,61,61,61
