HistoricalDataSymbol,DateTime,Value
USDCOP,1998-01-01T00:00:00,1295.00
USDCOP,1998-01-02T00:00:00,1293.58
USDCOP,1998-01-05T00:00:00,1304.33
USDCOP,1998-01-06T00:00:00,1317.15
USDCOP,1998-01-07T00:00:00,1318.57
USDCOP,1998-01-08T00:00:00,1315.95
USDCOP,1998-01-09T00:00:00,1313.56
USDCOP,1998-01-13T00:00:00,1315.70
USDCOP,1998-01-14T00:00:00,1318.25
USDCOP,1998-01-15T00:00:00,1318.53
USDCOP,1998-01-16T00:00:00,1319.21
USDCOP,1998-01-19T00:00:00,1322.16
USDCOP,1998-01-20T00:00:00,1325.07
USDCOP,1998-01-21T00:00:00,1327.00
USDCOP,1998-01-22T00:00:00,1331.48
USDCOP,1998-01-23T00:00:00,1334.71
USDCOP,1998-01-26T00:00:00,1332.78
USDCOP,1998-01-27T00:00:00,1336.38
USDCOP,1998-01-28T00:00:00,1337.30
USDCOP,1998-01-29T00:00:00,1339.57
USDCOP,1998-01-30T00:00:00,1341.85
USDCOP,1998-02-02T00:00:00,1342.00
USDCOP,1998-02-03T00:00:00,1343.90
USDCOP,1998-02-04T00:00:00,1345.01
USDCOP,1998-02-05T00:00:00,1345.46
USDCOP,1998-02-06T00:00:00,1346.09
USDCOP,1998-02-09T00:00:00,1346.42
USDCOP,1998-02-10T00:00:00,1347.72
USDCOP,1998-02-11T00:00:00,1348.23
USDCOP,1998-02-12T00:00:00,1348.86
USDCOP,1998-02-13T00:00:00,1349.34
USDCOP,1998-02-16T00:00:00,1349.54
USDCOP,1998-02-17T00:00:00,1350.97
USDCOP,1998-02-18T00:00:00,1351.00
USDCOP,1998-02-19T00:00:00,1349.71
USDCOP,1998-02-20T00:00:00,1349.00
USDCOP,1998-02-23T00:00:00,1334.72
USDCOP,1998-02-24T00:00:00,1340.92
USDCOP,1998-02-25T00:00:00,1334.72
USDCOP,1998-02-26T00:00:00,1340.75
USDCOP,1998-02-27T00:00:00,1344.25
USDCOP,1998-03-02T00:00:00,1343.85
USDCOP,1998-03-03T00:00:00,1344.25
USDCOP,1998-03-04T00:00:00,1352.21
USDCOP,1998-03-05T00:00:00,1344.25
USDCOP,1998-03-06T00:00:00,1353.19
USDCOP,1998-03-09T00:00:00,1353.71
USDCOP,1998-03-10T00:00:00,1356.00
USDCOP,1998-03-11T00:00:00,1355.88
USDCOP,1998-03-12T00:00:00,1356.63
USDCOP,1998-03-13T00:00:00,1356.83
USDCOP,1998-03-16T00:00:00,1357.60
USDCOP,1998-03-17T00:00:00,1358.66
USDCOP,1998-03-18T00:00:00,1360.00
USDCOP,1998-03-19T00:00:00,1359.96
USDCOP,1998-03-20T00:00:00,1361.70
USDCOP,1998-03-23T00:00:00,1361.00
USDCOP,1998-03-25T00:00:00,1363.50
USDCOP,1998-03-26T00:00:00,1365.80
USDCOP,1998-03-27T00:00:00,1365.00
USDCOP,1998-03-30T00:00:00,1360.00
USDCOP,1998-03-31T00:00:00,1361.75
USDCOP,1998-04-01T00:00:00,1361.00
USDCOP,1998-04-02T00:00:00,1355.20
USDCOP,1998-04-03T00:00:00,1358.10
USDCOP,1998-04-06T00:00:00,1356.70
USDCOP,1998-04-07T00:00:00,1354.00
USDCOP,1998-04-08T00:00:00,1353.00
USDCOP,1998-04-09T00:00:00,1360.40
USDCOP,1998-04-14T00:00:00,1364.00
USDCOP,1998-04-15T00:00:00,1364.50
USDCOP,1998-04-16T00:00:00,1361.85
USDCOP,1998-04-17T00:00:00,1360.00
USDCOP,1998-04-20T00:00:00,1360.20
USDCOP,1998-04-21T00:00:00,1358.00
USDCOP,1998-04-22T00:00:00,1356.50
USDCOP,1998-04-23T00:00:00,1355.00
USDCOP,1998-04-24T00:00:00,1354.60
USDCOP,1998-04-27T00:00:00,1360.00
USDCOP,1998-04-28T00:00:00,1371.60
USDCOP,1998-04-29T00:00:00,1368.00
USDCOP,1998-04-30T00:00:00,1362.00
USDCOP,1998-05-01T00:00:00,1364.20
USDCOP,1998-05-05T00:00:00,1375.00
USDCOP,1998-05-06T00:00:00,1378.50
USDCOP,1998-05-07T00:00:00,1380.00
USDCOP,1998-05-08T00:00:00,1383.70
USDCOP,1998-05-11T00:00:00,1385.60
USDCOP,1998-05-12T00:00:00,1388.50
USDCOP,1998-05-13T00:00:00,1386.20
USDCOP,1998-05-14T00:00:00,1386.00
USDCOP,1998-05-15T00:00:00,1384.00
USDCOP,1998-05-18T00:00:00,1386.00
USDCOP,1998-05-19T00:00:00,1391.00
USDCOP,1998-05-20T00:00:00,1391.70
USDCOP,1998-05-21T00:00:00,1393.50
USDCOP,1998-05-22T00:00:00,1394.65
USDCOP,1998-05-26T00:00:00,1394.83
USDCOP,1998-05-27T00:00:00,1396.72
USDCOP,1998-05-28T00:00:00,1397.50
USDCOP,1998-05-29T00:00:00,1396.00
USDCOP,1998-06-01T00:00:00,1398.15
USDCOP,1998-06-02T00:00:00,1399.50
USDCOP,1998-06-03T00:00:00,1398.65
USDCOP,1998-06-04T00:00:00,1399.00
USDCOP,1998-06-05T00:00:00,1387.00
USDCOP,1998-06-08T00:00:00,1381.00
USDCOP,1998-06-09T00:00:00,1380.50
USDCOP,1998-06-10T00:00:00,1379.40
USDCOP,1998-06-11T00:00:00,1383.40
USDCOP,1998-06-12T00:00:00,1380.50
USDCOP,1998-06-15T00:00:00,1384.00
USDCOP,1998-06-17T00:00:00,1393.50
USDCOP,1998-06-18T00:00:00,1390.00
USDCOP,1998-06-19T00:00:00,1384.00
USDCOP,1998-06-22T00:00:00,1393.30
USDCOP,1998-06-23T00:00:00,1395.10
USDCOP,1998-06-24T00:00:00,1378.00
