HistoricalDataSymbol,DateTime,Value
COCPIYOY,1998-01-31T00:00:00,17.84
COCPIYOY,1998-02-28T00:00:00,18.03
COCPIYOY,1998-03-31T00:00:00,19.24
COCPIYOY,1998-04-30T00:00:00,20.74
COCPIYOY,1998-05-31T00:00:00,20.67
COCPIYOY,1998-06-30T00:00:00,20.69
COCPIYOY,1998-07-31T00:00:00,20.27
COCPIYOY,1998-08-31T00:00:00,18.94
COCPIYOY,1998-09-30T00:00:00,17.8
COCPIYOY,1998-10-31T00:00:00,17.09
COCPIYOY,1998-11-30T00:00:00,16.35
COCPIYOY,1998-12-31T00:00:00,16.7
COCPIYOY,1999-01-31T00:00:00,17.18
COCPIYOY,1999-02-28T00:00:00,15.38
COCPIYOY,1999-03-31T00:00:00,13.51
COCPIYOY,1999-04-30T00:00:00,11.17
COCPIYOY,1999-05-31T00:00:00,9.98
COCPIYOY,1999-06-30T00:00:00,8.96
COCPIYOY,1999-07-31T00:00:00,8.78
COCPIYOY,1999-08-31T00:00:00,9.28
COCPIYOY,1999-09-30T00:00:00,9.33
COCPIYOY,1999-10-31T00:00:00,9.32
COCPIYOY,1999-11-30T00:00:00,9.65
COCPIYOY,1999-12-31T00:00:00,9.23
COCPIYOY,2000-01-31T00:00:00,8.25
COCPIYOY,2000-02-29T00:00:00,8.89
COCPIYOY,2000-03-31T00:00:00,9.73
COCPIYOY,2000-04-30T00:00:00,9.96
COCPIYOY,2000-05-31T00:00:00,10
COCPIYOY,2000-06-30T00:00:00,9.68
COCPIYOY,2000-07-31T00:00:00,9.29
COCPIYOY,2000-08-31T00:00:00,9.1
COCPIYOY,2000-09-30T00:00:00,9.2
COCPIYOY,2000-10-31T00:00:00,8.99
COCPIYOY,2000-11-30T00:00:00,8.82
COCPIYOY,2000-12-31T00:00:00,8.75
COCPIYOY,2001-01-31T00:00:00,8.49
COCPIYOY,2001-02-28T00:00:00,8.06
COCPIYOY,2001-03-31T00:00:00,7.81
COCPIYOY,2001-04-30T00:00:00,7.98
COCPIYOY,2001-05-31T00:00:00,7.87
COCPIYOY,2001-06-30T00:00:00,7.93
COCPIYOY,2001-07-31T00:00:00,8.09
COCPIYOY,2001-08-31T00:00:00,8.03
COCPIYOY,2001-09-30T00:00:00,7.97
COCPIYOY,2001-10-31T00:00:00,8.01
COCPIYOY,2001-11-30T00:00:00,7.78
COCPIYOY,2001-12-31T00:00:00,7.65
COCPIYOY,2002-01-31T00:00:00,7.37
COCPIYOY,2002-02-28T00:00:00,6.7
COCPIYOY,2002-03-31T00:00:00,5.89
COCPIYOY,2002-04-30T00:00:00,5.65
COCPIYOY,2002-05-31T00:00:00,5.84
COCPIYOY,2002-06-30T00:00:00,6.25
COCPIYOY,2002-07-31T00:00:00,6.16
COCPIYOY,2002-08-31T00:00:00,5.98
COCPIYOY,2002-09-30T00:00:00,5.97
COCPIYOY,2002-10-31T00:00:00,6.37
COCPIYOY,2002-11-30T00:00:00,7.07
COCPIYOY,2002-12-31T00:00:00,6.99
COCPIYOY,2003-01-31T00:00:00,7.39
COCPIYOY,2003-02-28T00:00:00,7.24
COCPIYOY,2003-03-31T00:00:00,7.6
COCPIYOY,2003-04-30T00:00:00,7.85
COCPIYOY,2003-05-31T00:00:00,7.73
COCPIYOY,2003-06-30T00:00:00,7.21
COCPIYOY,2003-07-31T00:00:00,7.04
COCPIYOY,2003-08-31T00:00:00,7.26
COCPIYOY,2003-09-30T00:00:00,7.11
COCPIYOY,2003-10-31T00:00:00,6.58
COCPIYOY,2003-11-30T00:00:00,6.13
COCPIYOY,2003-12-31T00:00:00,6.49
COCPIYOY,2004-01-31T00:00:00,6.19
COCPIYOY,2004-02-29T00:00:00,6.28
COCPIYOY,2004-03-31T00:00:00,6.21
COCPIYOY,2004-04-30T00:00:00,5.49
COCPIYOY,2004-05-31T00:00:00,5.37
COCPIYOY,2004-06-30T00:00:00,6.07
COCPIYOY,2004-07-31T00:00:00,6.19
COCPIYOY,2004-08-31T00:00:00,5.89
COCPIYOY,2004-09-30T00:00:00,5.97
COCPIYOY,2004-10-31T00:00:00,5.9
COCPIYOY,2004-11-30T00:00:00,5.82
COCPIYOY,2004-12-31T00:00:00,5.5
COCPIYOY,2005-01-31T00:00:00,5.43
COCPIYOY,2005-02-28T00:00:00,5.25
COCPIYOY,2005-03-31T00:00:00,5.03
